"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 19:39:42 GMT 2025","Sun Oct 26 19:39:43 GMT 2025","773","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addUserWithInvalidDataTest","Провекрка попытки добавления невалидного пользователя",""
"passed","Sun Oct 26 19:39:45 GMT 2025","Sun Oct 26 19:39:47 GMT 2025","2431","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarToUserTest","Проверка покупки автомобиля",""
"passed","Sun Oct 26 19:39:43 GMT 2025","Sun Oct 26 19:39:45 GMT 2025","2170","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarNoMoneyTest","Покупка автомобиля при недостатке средств",""
"passed","Sun Oct 26 19:39:47 GMT 2025","Sun Oct 26 19:39:49 GMT 2025","1445","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 50.00",""
"passed","Sun Oct 26 19:39:35 GMT 2025","Sun Oct 26 19:39:38 GMT 2025","2220","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: user",""
"failed","Sun Oct 26 19:39:50 GMT 2025","Sun Oct 26 19:39:52 GMT 2025","1751","","ru.pflb.tests.CarTests","","ru.pflb.tests.CarTests","carLifecycleTest","Провекрка жизненного цикла автомобиля",""
"failed","Sun Oct 26 19:39:39 GMT 2025","Sun Oct 26 19:39:41 GMT 2025","1870","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","userLifecycleTest","Провекрка жизненного цикла пользователя",""
"passed","Sun Oct 26 19:39:38 GMT 2025","Sun Oct 26 19:39:38 GMT 2025","498","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: admin",""
"passed","Sun Oct 26 19:39:41 GMT 2025","Sun Oct 26 19:39:42 GMT 2025","1440","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addNegativeMoneyToUserTest","Проверка попытки начисления отрицательной суммы пользователю",""
"passed","Sun Oct 26 19:39:38 GMT 2025","Sun Oct 26 19:39:39 GMT 2025","439","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","unSuccessLoginTest","Провекрка неуспешной авторизации",""
"passed","Sun Oct 26 19:39:49 GMT 2025","Sun Oct 26 19:39:50 GMT 2025","1459","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 243.06",""
