"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 20:23:35 GMT 2025","Mon Oct 27 20:23:49 GMT 2025","14420","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: телевизор SAMSUNG",""
"passed","Mon Oct 27 20:23:03 GMT 2025","Mon Oct 27 20:23:04 GMT 2025","607","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: user",""
"passed","Mon Oct 27 20:24:52 GMT 2025","Mon Oct 27 20:25:17 GMT 2025","24628","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","filedBasketPageElementsVisibilityTest","Провекрка отображения основных элементов страницы с непустой корзиной: добавление 3 товаров",""
"passed","Mon Oct 27 20:23:00 GMT 2025","Mon Oct 27 20:23:03 GMT 2025","3132","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","unSuccessLoginTest","Провекрка неуспешной авторизации",""
"passed","Mon Oct 27 20:23:00 GMT 2025","Mon Oct 27 20:23:05 GMT 2025","4946","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 50.00",""
"failed","Mon Oct 27 20:23:01 GMT 2025","Mon Oct 27 20:23:05 GMT 2025","3623","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","userLifecycleTest","Провекрка жизненного цикла пользователя",""
"passed","Mon Oct 27 20:23:04 GMT 2025","Mon Oct 27 20:23:06 GMT 2025","1798","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarNoMoneyTest","Покупка автомобиля при недостатке средств",""
"failed","Mon Oct 27 20:25:23 GMT 2025","Mon Oct 27 20:25:44 GMT 2025","20355","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","addProductsInBasketTest","Провекрка работы счётчика корзины: добавление 3 товаров",""
"failed","Mon Oct 27 20:23:00 GMT 2025","Mon Oct 27 20:23:05 GMT 2025","5241","","ru.pflb.tests.CarTests","","ru.pflb.tests.CarTests","carLifecycleTest","Провекрка жизненного цикла автомобиля",""
"passed","Mon Oct 27 20:23:00 GMT 2025","Mon Oct 27 20:23:04 GMT 2025","3835","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: admin",""
"passed","Mon Oct 27 20:23:04 GMT 2025","Mon Oct 27 20:23:04 GMT 2025","721","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addUserWithInvalidDataTest","Провекрка попытки добавления невалидного пользователя",""
"passed","Mon Oct 27 20:24:28 GMT 2025","Mon Oct 27 20:24:52 GMT 2025","23680","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","shouldCalculateTotalSumCorrectly","Проверка суммирования добавленных товаров в корзине: добавление 3 товаров",""
"failed","Mon Oct 27 20:24:04 GMT 2025","Mon Oct 27 20:24:25 GMT 2025","21492","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","shouldContainExactlySelectedProducts","Проверка корректности содержимого корзины: добавление 3 товаров",""
"passed","Mon Oct 27 20:25:17 GMT 2025","Mon Oct 27 20:25:19 GMT 2025","2435","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","openMainPageTest","Провекрка корректного захода на страницу",""
"passed","Mon Oct 27 20:23:04 GMT 2025","Mon Oct 27 20:23:06 GMT 2025","1989","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarToUserTest","Проверка покупки автомобиля",""
"passed","Mon Oct 27 20:25:19 GMT 2025","Mon Oct 27 20:25:23 GMT 2025","4261","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","mainPageElementsVisibilityTest","Провекрка отображения основных элементов страницы",""
"passed","Mon Oct 27 20:23:15 GMT 2025","Mon Oct 27 20:23:34 GMT 2025","19272","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: ноутбук asus",""
"passed","Mon Oct 27 20:24:25 GMT 2025","Mon Oct 27 20:24:28 GMT 2025","2715","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","emptyBasketPageElementsVisibilityTest","Провекрка отображения основных элементов страницы с пустой корзиной",""
"failed","Mon Oct 27 20:23:49 GMT 2025","Mon Oct 27 20:24:04 GMT 2025","15048","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: iPhone 15",""
"passed","Mon Oct 27 20:23:04 GMT 2025","Mon Oct 27 20:23:05 GMT 2025","1250","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addNegativeMoneyToUserTest","Проверка попытки начисления отрицательной суммы пользователю",""
"passed","Mon Oct 27 20:23:05 GMT 2025","Mon Oct 27 20:23:06 GMT 2025","1211","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 243.06",""
