"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 26 19:57:15 GMT 2025","Sun Oct 26 19:57:17 GMT 2025","1720","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarNoMoneyTest","Покупка автомобиля при недостатке средств",""
"failed","Sun Oct 26 19:57:12 GMT 2025","Sun Oct 26 19:57:14 GMT 2025","1596","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","userLifecycleTest","Провекрка жизненного цикла пользователя",""
"passed","Sun Oct 26 19:57:20 GMT 2025","Sun Oct 26 19:57:22 GMT 2025","1162","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 243.06",""
"passed","Sun Oct 26 19:57:11 GMT 2025","Sun Oct 26 19:57:12 GMT 2025","372","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: admin",""
"passed","Sun Oct 26 19:57:12 GMT 2025","Sun Oct 26 19:57:12 GMT 2025","379","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","unSuccessLoginTest","Провекрка неуспешной авторизации",""
"passed","Sun Oct 26 19:57:19 GMT 2025","Sun Oct 26 19:57:20 GMT 2025","1156","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 50.00",""
"passed","Sun Oct 26 19:57:14 GMT 2025","Sun Oct 26 19:57:15 GMT 2025","1176","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addNegativeMoneyToUserTest","Проверка попытки начисления отрицательной суммы пользователю",""
"passed","Sun Oct 26 19:57:08 GMT 2025","Sun Oct 26 19:57:11 GMT 2025","3690","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: user",""
"passed","Sun Oct 26 19:57:17 GMT 2025","Sun Oct 26 19:57:19 GMT 2025","1973","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarToUserTest","Проверка покупки автомобиля",""
"passed","Sun Oct 26 19:57:15 GMT 2025","Sun Oct 26 19:57:15 GMT 2025","646","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addUserWithInvalidDataTest","Провекрка попытки добавления невалидного пользователя",""
"failed","Sun Oct 26 19:57:22 GMT 2025","Sun Oct 26 19:57:23 GMT 2025","1415","","ru.pflb.tests.CarTests","","ru.pflb.tests.CarTests","carLifecycleTest","Провекрка жизненного цикла автомобиля",""
