"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 27 21:04:20 GMT 2025","Mon Oct 27 21:04:29 GMT 2025","9249","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","emptyBasketPageElementsVisibilityTest","Провекрка отображения основных элементов страницы с пустой корзиной",""
"passed","Mon Oct 27 21:03:12 GMT 2025","Mon Oct 27 21:03:13 GMT 2025","1563","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addNegativeMoneyToUserTest","Проверка попытки начисления отрицательной суммы пользователю",""
"passed","Mon Oct 27 21:03:25 GMT 2025","Mon Oct 27 21:03:42 GMT 2025","17291","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: ноутбук asus",""
"passed","Mon Oct 27 21:03:54 GMT 2025","Mon Oct 27 21:04:01 GMT 2025","7111","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: iPhone 15",""
"failed","Mon Oct 27 21:03:10 GMT 2025","Mon Oct 27 21:03:13 GMT 2025","3814","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","userLifecycleTest","Провекрка жизненного цикла пользователя",""
"passed","Mon Oct 27 21:03:13 GMT 2025","Mon Oct 27 21:03:16 GMT 2025","2621","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarToUserTest","Проверка покупки автомобиля",""
"passed","Mon Oct 27 21:03:08 GMT 2025","Mon Oct 27 21:03:11 GMT 2025","3233","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","unSuccessLoginTest","Провекрка неуспешной авторизации",""
"passed","Mon Oct 27 21:05:50 GMT 2025","Mon Oct 27 21:05:52 GMT 2025","2710","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","mainPageElementsVisibilityTest","Провекрка отображения основных элементов страницы",""
"passed","Mon Oct 27 21:03:11 GMT 2025","Mon Oct 27 21:03:12 GMT 2025","579","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: user",""
"passed","Mon Oct 27 21:04:01 GMT 2025","Mon Oct 27 21:04:20 GMT 2025","19486","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","shouldContainExactlySelectedProducts","Проверка корректности содержимого корзины: добавление 3 товаров",""
"passed","Mon Oct 27 21:03:13 GMT 2025","Mon Oct 27 21:03:15 GMT 2025","1532","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 243.06",""
"passed","Mon Oct 27 21:03:08 GMT 2025","Mon Oct 27 21:03:12 GMT 2025","3958","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: admin",""
"passed","Mon Oct 27 21:05:47 GMT 2025","Mon Oct 27 21:05:50 GMT 2025","2748","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","openMainPageTest","Провекрка корректного захода на страницу",""
"failed","Mon Oct 27 21:03:08 GMT 2025","Mon Oct 27 21:03:14 GMT 2025","5684","","ru.pflb.tests.CarTests","","ru.pflb.tests.CarTests","carLifecycleTest","Провекрка жизненного цикла автомобиля",""
"passed","Mon Oct 27 21:03:12 GMT 2025","Mon Oct 27 21:03:13 GMT 2025","880","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addUserWithInvalidDataTest","Провекрка попытки добавления невалидного пользователя",""
"passed","Mon Oct 27 21:03:08 GMT 2025","Mon Oct 27 21:03:13 GMT 2025","5181","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 50.00",""
"failed","Mon Oct 27 21:05:52 GMT 2025","Mon Oct 27 21:06:13 GMT 2025","20493","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","addProductsInBasketTest","Провекрка работы счётчика корзины: добавление 3 товаров",""
"passed","Mon Oct 27 21:03:13 GMT 2025","Mon Oct 27 21:03:15 GMT 2025","2280","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarNoMoneyTest","Покупка автомобиля при недостатке средств",""
"passed","Mon Oct 27 21:05:17 GMT 2025","Mon Oct 27 21:05:47 GMT 2025","29707","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","filedBasketPageElementsVisibilityTest","Провекрка отображения основных элементов страницы с непустой корзиной: добавление 3 товаров",""
"failed","Mon Oct 27 21:04:29 GMT 2025","Mon Oct 27 21:05:17 GMT 2025","47748","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","shouldCalculateTotalSumCorrectly","Проверка суммирования добавленных товаров в корзине: добавление 3 товаров",""
"passed","Mon Oct 27 21:03:42 GMT 2025","Mon Oct 27 21:03:54 GMT 2025","11310","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: телевизор SAMSUNG",""
