"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 31 14:58:36 GMT 2025","Fri Oct 31 14:58:41 GMT 2025","4629","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 50.00",""
"passed","Fri Oct 31 14:58:57 GMT 2025","Fri Oct 31 15:00:05 GMT 2025","67792","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","addProductsInBasketTest","Провекрка работы счётчика корзины: добавление 3 товаров",""
"passed","Fri Oct 31 14:59:57 GMT 2025","Fri Oct 31 15:00:21 GMT 2025","23787","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: iPhone 15",""
"failed","Fri Oct 31 14:58:37 GMT 2025","Fri Oct 31 14:58:41 GMT 2025","3768","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","userLifecycleTest","Провекрка жизненного цикла пользователя",""
"passed","Fri Oct 31 14:58:57 GMT 2025","Fri Oct 31 15:00:12 GMT 2025","74368","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","filedBasketPageElementsVisibilityTest","Провекрка отображения основных элементов страницы с непустой корзиной: добавление 3 товаров",""
"passed","Fri Oct 31 14:58:57 GMT 2025","Fri Oct 31 14:59:57 GMT 2025","60028","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: ноутбук asus",""
"passed","Fri Oct 31 14:58:39 GMT 2025","Fri Oct 31 14:58:41 GMT 2025","1611","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addNegativeMoneyToUserTest","Проверка попытки начисления отрицательной суммы пользователю",""
"failed","Fri Oct 31 15:00:12 GMT 2025","Fri Oct 31 15:01:08 GMT 2025","56768","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","shouldCalculateTotalSumCorrectly","Проверка суммирования добавленных товаров в корзине: добавление 3 товаров",""
"passed","Fri Oct 31 14:58:41 GMT 2025","Fri Oct 31 14:58:44 GMT 2025","2550","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarToUserTest","Проверка покупки автомобиля",""
"passed","Fri Oct 31 14:58:39 GMT 2025","Fri Oct 31 14:58:39 GMT 2025","554","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: user",""
"passed","Fri Oct 31 14:58:41 GMT 2025","Fri Oct 31 14:58:42 GMT 2025","1516","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addMoneyToUserTest","Провекрка начисления денег прользователю начисление денег: 243.06",""
"passed","Fri Oct 31 14:58:35 GMT 2025","Fri Oct 31 14:58:39 GMT 2025","3383","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","unSuccessLoginTest","Провекрка неуспешной авторизации",""
"passed","Fri Oct 31 14:58:57 GMT 2025","Fri Oct 31 14:59:40 GMT 2025","42992","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","openMainPageTest","Провекрка корректного захода на страницу",""
"passed","Fri Oct 31 15:00:05 GMT 2025","Fri Oct 31 15:00:29 GMT 2025","23754","","ru.pflb.tests.SearchResultsPageTests","","ru.pflb.tests.SearchResultsPageTests","findProductByQueryTest","Проверка поиска товара: телевизор SAMSUNG",""
"passed","Fri Oct 31 14:59:40 GMT 2025","Fri Oct 31 14:59:52 GMT 2025","11466","","ru.pflb.tests.MainPageTests","","ru.pflb.tests.MainPageTests","mainPageElementsVisibilityTest","Провекрка отображения основных элементов страницы",""
"passed","Fri Oct 31 14:59:52 GMT 2025","Fri Oct 31 15:00:28 GMT 2025","36682","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","shouldContainExactlySelectedProducts","Проверка корректности содержимого корзины: добавление 3 товаров",""
"failed","Fri Oct 31 14:58:36 GMT 2025","Fri Oct 31 14:58:41 GMT 2025","4929","","ru.pflb.tests.CarTests","","ru.pflb.tests.CarTests","carLifecycleTest","Провекрка жизненного цикла автомобиля",""
"passed","Fri Oct 31 14:58:40 GMT 2025","Fri Oct 31 14:58:43 GMT 2025","2251","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","buyCarNoMoneyTest","Покупка автомобиля при недостатке средств",""
"passed","Fri Oct 31 15:00:21 GMT 2025","Fri Oct 31 15:00:28 GMT 2025","7460","","ru.pflb.tests.BasketPageTests","","ru.pflb.tests.BasketPageTests","emptyBasketPageElementsVisibilityTest","Провекрка отображения основных элементов страницы с пустой корзиной",""
"passed","Fri Oct 31 14:58:39 GMT 2025","Fri Oct 31 14:58:40 GMT 2025","857","","ru.pflb.tests.UserTests","","ru.pflb.tests.UserTests","addUserWithInvalidDataTest","Провекрка попытки добавления невалидного пользователя",""
"passed","Fri Oct 31 14:58:35 GMT 2025","Fri Oct 31 14:58:39 GMT 2025","4095","","ru.pflb.tests.AuthTests","","ru.pflb.tests.AuthTests","successLoginTest","Проверка успешной авторизации пользователь: admin",""
